BTS_sp,DB_sp,level
Alepocephaliidae,Alepocephalidae,Family
Anguilliformes,Anguilliformes,Order
Apogonidae,Apogonidae,Family
Artediellus,Artediellus,Genus
Balistidae,Balistidae,Family
Blenniidae,Blenniidae,Family
Bothidae,Bothidae,Family
Calappidae,Calappidae,Family
Cancridae,Cancridae,Family
Caproidae,Caproidae,Family
Carcharhinidae,Carcharhinidae,Family
Cephalopoda,Cephalopoda,Class
Chlorophthalmus,Chlorophthalmus,Genus
Citharichthys,Citharichthys,Genus
Clupeidae,Clupeidae,Family
Congridae,Congridae,Family
Cottidae,Cottidae,Family
Crustacea shrimp,Decapoda,Order
Cyclopteridae,Cyclopteridae,Family
Etropus,Etropus,Genus
Fistularia,Fistularia,Genus
Gadidae,Gadidae,Family
Galatheidae,Galatheidae,Family
Gobiidae,Gobiidae,Family
Holocentridae,Holocentridae,Family
Labridae,Labridae,Family
Lophiiformes,Lophiiformes,Order
Lutjanidae,Lutjanidae,Family
Macrouridae,Macrouridae,Family
Majidae,Majidae,Family
Moridae,Moridae,Family
Muraenidae,Muraenidae,Family
Myctophidae,Myctophidae,Family
Octopoda,Octopoda,Order
Ogcocephalidae,Ogcocephalidae,Family
Ophichthidae,Ophichthidae,Family
Ophidiidae,Ophidiidae,Family
Ovalipes,Ovalipes,Genus
Paralepidae,Paralepididae,Family
Paralichthys,Paralichthys,Genus
Penaeus,Penaeus,Genus
Pleuronectidae,Pleuronectidae,Family
Pleuronectiformes,Pleuronectiformes,Order
Pomacentridae,Pomacentridae,Family
Portunidae,Portunidae,Family
Scaridae,Scaridae,Family
Sciaenidae,Sciaenidae,Family
Scombridae,Scombridae,Family
Scorpaenidae,Scorpaenidae,Family
Selachimorpha,Elasmobranchii,Class
Sepiolidae,Sepiolidae,Family
Serranidae,Serranidae,Family
Sphyraena,Sphyraena,Genus
Squalidae,Squalidae,Family
Stelleroidea,Asteroidea,Class
Sternoptychidae,Sternoptychidae,Family
Stomatopoda,Stomatopoda,Order
Stomiidae,Stomiidae,Family
Stromateidae,Stromateidae,Family
Symphurus,Symphurus,Genus
Syngnathidae,Syngnathidae,Family
Synodontidae,Synodontidae,Family
Tetraodontidae,Tetraodontidae,Family
Trichiuridae,Trichiuridae,Family
Triglidae,Triglidae,Family
Uranoscopidae,Uranoscopidae,Family
Urophycis,Urophycis,Genus
Zoarcidae,Zoarcidae,Family
